"workerId","itemId","CONDITION_NO","ENCODING","ITEM_FUNCTION","ITEM_SUBGROUP","ANSWER","ANSWER_LABEL","rt","time_elapsed","trial_index"
215,"f50_1",1,"f50","calibration","unrelated",5,"vollkommen natürlich",6122,6131,0
215,"f37_1",1,"f37","calibration","unrelated",5,"vollkommen natürlich",9603,15745,1
215,"f52_3",3,"f52","calibration","unrelated",2,"eher unnatürlich",12174,27925,2
215,"f64_3",3,"f64","calibration","unrelated",4,"eher natürlich",9685,37617,3
215,"f28_2",2,"f28","calibration","pseudo_windef",2,"eher unnatürlich",7542,45165,4
215,"f38_2",2,"f38","calibration","unrelated",2,"eher unnatürlich",7688,52858,5
215,"f20_1",1,"f20","control","unrelated",5,"vollkommen natürlich",8833,70027,7
215,"f30_3",3,"f30","filler","pseudo_windef",2,"eher unnatürlich",7616,77650,8
215,"f62_2",2,"f62","attention","unrelated (pseudo_manner)",2,"eher unnatürlich",8475,86131,9
215,"f35_3",3,"f35","filler","pseudo_windef",5,"vollkommen natürlich",6214,100329,11
215,"f12_1",1,"f12","control","related",5,"vollkommen natürlich",8051,108385,12
215,"f23_2",2,"f23","control","unrelated",2,"eher unnatürlich",7318,122665,14
215,"f27_2",2,"f27","attention","pseudo_windef",2,"eher unnatürlich",5463,128134,15
215,"f06_1",1,"f06","control","related",5,"vollkommen natürlich",6010,134150,16
215,"f33_1",1,"f33","filler","pseudo_windef",5,"vollkommen natürlich",6405,146373,18
215,"f19_2",2,"f19","control","unrelated",2,"eher unnatürlich",6736,153115,19
215,"f04_1",1,"f04","control","related",5,"vollkommen natürlich",17400,176837,21
215,"f29_2",2,"f29","attention","pseudo_windef",2,"eher unnatürlich",5335,182183,22
215,"f14_1",1,"f14","control","unrelated",5,"vollkommen natürlich",4608,192874,24
215,"f65_1",1,"f65","filler","unrelated",5,"vollkommen natürlich",6117,198999,25
215,"f17_2",2,"f17","control","unrelated",2,"eher unnatürlich",5840,204845,26
215,"f31_2",2,"f31","attention","pseudo_windef/TEMP",2,"eher unnatürlich",7667,218958,28
215,"f47_3",3,"f47","filler","unrelated",3,"keine Tendenz",7954,233853,30
215,"f59_2",2,"f59","attention","unrelated",2,"eher unnatürlich",7042,248474,32
215,"f09_2",2,"f09","control","related",1,"vollkommen unnatürlich",8197,256679,33
215,"f42_2",2,"f42","filler","unrelated (pseudo_TEMP)",2,"eher unnatürlich",9640,276190,35
215,"f13_2",2,"f13","control","unrelated",2,"eher unnatürlich",6772,282969,36
215,"f56_3",3,"f56","filler","unrelated (pseudo_CC)",5,"vollkommen natürlich",9660,292635,37
215,"f24_1",1,"f24","control","unrelated",5,"vollkommen natürlich",7231,299871,38
215,"f36_2",2,"f36","attention","pseudo_windef",2,"eher unnatürlich",8903,314578,40
215,"f68_2",2,"f68","attention","unrelated",2,"eher unnatürlich",6837,327472,42
215,"f67_1",1,"f67","filler","unrelated",5,"vollkommen natürlich",6761,345479,44
215,"f55_3",3,"f55","filler","unrelated (pseudo_TEMP)",5,"vollkommen natürlich",5737,365582,46
215,"f34_3",3,"f34","filler","pseudo_windef",5,"vollkommen natürlich",7374,380532,48
215,"f51_2",2,"f51","attention","pseudo_COM/manner",4,"eher natürlich",12137,400227,50
215,"f43_3",3,"f43","filler","unrelated (pseudo_TEMP)",5,"vollkommen natürlich",5920,412605,52
215,"f15_2",2,"f15","control","unrelated",2,"eher unnatürlich",6872,419483,53
215,"f58_3",3,"f58","filler","unrelated",5,"vollkommen natürlich",7044,436881,55
215,"f10_1",1,"f10","control","related",5,"vollkommen natürlich",7346,449460,57
215,"f44_3",3,"f44","filler","unrelated (pseudo_TEMP/CC)",5,"vollkommen natürlich",21991,471456,58
215,"f03_2",2,"f03","control","related",1,"vollkommen unnatürlich",12052,483514,59
215,"f66_3",3,"f66","filler","unrelated",3,"keine Tendenz",6912,490430,60
215,"f61_3",3,"f61","filler","unrelated (pseudo_manner)",5,"vollkommen natürlich",6386,506378,62
215,"f69_3",3,"f69","filler","unrelated",2,"eher unnatürlich",5556,522265,64
215,"f41_1",1,"f41","filler","unrelated",5,"vollkommen natürlich",5994,534627,66
215,"f54_2",2,"f54","filler","pseudo_CC/COM",2,"eher unnatürlich",10742,552183,68
215,"f49_3",3,"f49","filler","unrelated",5,"vollkommen natürlich",6232,558423,69
215,"f63_3",3,"f63","filler","unrelated",2,"eher unnatürlich",4677,570370,71
215,"f07_2",2,"f07","control","related",1,"vollkommen unnatürlich",7108,577485,72
215,"f70_1",1,"f70","filler","unrelated",5,"vollkommen natürlich",6364,591221,74
215,"f01_2",2,"f01","control","related",1,"vollkommen unnatürlich",5132,602996,76
215,"f32_1",1,"f32","filler","pseudo_windef/CC",5,"vollkommen natürlich",9185,612187,77
215,"f02_1",1,"f02","control","related",5,"vollkommen natürlich",7620,631079,79
215,"f39_3",3,"f39","filler","pseudo_manner/COM",5,"vollkommen natürlich",11018,642103,80
215,"f22_1",1,"f22","control","unrelated",5,"vollkommen natürlich",7886,649995,81
215,"f11_2",2,"f11","control","related",1,"vollkommen unnatürlich",7509,664122,83
215,"f40_3",3,"f40","filler","unrelated",5,"vollkommen natürlich",5502,669628,84
215,"f08_1",1,"f08","control","related",5,"vollkommen natürlich",6076,675710,85
215,"f72_2",2,"f72","attention","unrelated",2,"eher unnatürlich",8646,691220,87
215,"f05_2",2,"f05","control","related",1,"vollkommen unnatürlich",7711,705826,89
215,"f60_2",2,"f60","attention","unrelated",2,"eher unnatürlich",10220,716053,90
215,"f46_2",2,"f46","attention","unrelated",2,"eher unnatürlich",8473,724532,91
215,"f16_1",1,"f16","control","unrelated",5,"vollkommen natürlich",6724,731263,92
215,"f18_1",1,"f18","control","unrelated",5,"vollkommen natürlich",6177,743835,94
215,"f57_1",1,"f57","filler","unrelated",5,"vollkommen natürlich",3924,747766,95
215,"f71_2",2,"f71","filler","unrelated",2,"eher unnatürlich",8007,761580,97
