"workerId","AGE","GENDER","EDUCATION","EDUCATION_PROFESSIONAL","MISC_ABROAD","MISC_MULTILINGUAL","MISC_NO_SPEC","MISC_NON_NAIVE","MISC_NONE","DEVICE","Country.of.Birth","Current.Country.of.Residence","Nationality"
128,18,"female","(specialized) university-level graduation","university degree",FALSE,FALSE,TRUE,FALSE,FALSE,"mouse","Germany","Germany","Germany"
130,29,"female","(specialized) university-level graduation","master",TRUE,FALSE,FALSE,TRUE,FALSE,"mouse","Germany","Ireland","Germany"
131,26,"female","(specialized) university-level graduation","bachelor",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Austria","Austria","Austria"
132,35,"male","(specialized) university-level graduation","doctorate",TRUE,FALSE,FALSE,TRUE,FALSE,"mouse","Germany","Spain","Germany"
133,27,"male","(specialized) university-level graduation","master",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Germany","Germany","Germany"
134,21,"male","(specialized) university-level graduation","bachelor",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
135,20,"male","(specialized) university-level graduation","in training",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
136,20,"male","(specialized) university-level graduation","in training",FALSE,TRUE,FALSE,FALSE,FALSE,"mouse","Austria","Austria","Austria"
137,34,"male","(specialized) university-level graduation","doctorate",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
138,31,"male","(specialized) university-level graduation","master",TRUE,FALSE,FALSE,FALSE,FALSE,"touchpad","Germany","United Kingdom","Germany"
148,20,"female","(specialized) university-level graduation","in training",TRUE,TRUE,FALSE,FALSE,FALSE,"mouse","Namibia","South Africa","Namibia"
149,31,"male","secondary school graduation","apprenticeship (dual)",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Austria","Austria","Austria"
150,24,"male","(specialized) university-level graduation","none",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
151,25,"female","(specialized) university-level graduation","master",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Germany","Germany","Germany"
156,23,"female","(specialized) university-level graduation","apprenticeship (dual)",FALSE,FALSE,FALSE,TRUE,FALSE,"mouse","Germany","Germany","Germany"
157,24,"male","(specialized) university-level graduation","bachelor",TRUE,FALSE,FALSE,FALSE,FALSE,"mouse","Germany","United Kingdom","Germany"
159,22,"male","secondary school graduation","apprenticeship (dual)",FALSE,TRUE,FALSE,FALSE,FALSE,"mouse","Germany","Germany","Germany"
160,29,"male","(specialized) university-level graduation","master",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
161,22,"female","(specialized) university-level graduation","in training",FALSE,FALSE,FALSE,TRUE,FALSE,"touchpad","Germany","","Germany"
162,36,"female","(specialized) university-level graduation","diploma",TRUE,FALSE,FALSE,FALSE,FALSE,"mouse","Germany","United Kingdom","Germany"
163,23,"female","(specialized) university-level graduation","in training",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
165,23,"male","(specialized) university-level graduation","bachelor",FALSE,TRUE,FALSE,FALSE,FALSE,"touchscreen","Germany","Germany","Germany"
166,22,"female","secondary school graduation","in training",FALSE,FALSE,FALSE,TRUE,FALSE,"mouse","Austria","Austria","Austria"
167,25,"female","(specialized) university-level graduation","bachelor",FALSE,FALSE,FALSE,TRUE,FALSE,"touchpad","Germany","Germany","Germany"
168,36,"male","(specialized) university-level graduation","master",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Germany","Germany","Germany"
169,26,"female","(specialized) university-level graduation","apprenticeship (dual)",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Switzerland","Switzerland","Switzerland"
171,20,"female","(specialized) university-level graduation","in training",FALSE,FALSE,FALSE,TRUE,FALSE,"touchpad","Germany","Germany","Germany"
172,30,"female","(specialized) university-level graduation","master",TRUE,FALSE,FALSE,FALSE,FALSE,"touchpad","Germany","United Kingdom","Germany"
174,22,"female","(specialized) university-level graduation","apprenticeship (dual)",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany",""
176,20,"female","(specialized) university-level graduation","university degree",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Germany","Germany","Germany"
177,28,"female","(specialized) university-level graduation","bachelor",FALSE,FALSE,FALSE,TRUE,FALSE,"mouse","Germany","Germany","Germany"
179,20,"female","(specialized) university-level graduation","in training",FALSE,TRUE,FALSE,FALSE,FALSE,"mouse","Italy","Germany","Italy"
181,23,"female","(specialized) university-level graduation","bachelor",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
