"workerId","AGE","GENDER","EDUCATION","EDUCATION_PROFESSIONAL","MISC_ABROAD","MISC_MULTILINGUAL","MISC_NO_SPEC","MISC_NON_NAIVE","MISC_NONE","DEVICE","Country.of.Birth","Current.Country.of.Residence","Nationality"
220,26,"male","(specialized) university-level graduation","polytechnic degree",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Germany","Germany","Germany"
221,26,"female","(specialized) university-level graduation","polytechnic degree",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
222,22,"female","(specialized) university-level graduation","in training",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Germany","Germany","Germany"
223,19,"male","(specialized) university-level graduation","university degree",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
224,19,"female","(specialized) university-level graduation","in training",FALSE,FALSE,FALSE,TRUE,FALSE,"touchpad","Germany","Germany","Germany"
225,21,"female","(specialized) university-level graduation","in training",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Germany","Germany","Germany"
227,35,"male","secondary school graduation","in training",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
228,19,"female","(specialized) university-level graduation","in training",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Germany","Germany","Germany"
229,21,"diverse","(specialized) university-level graduation","in training",FALSE,FALSE,FALSE,TRUE,FALSE,"touchpad","Germany","Germany","Germany"
230,23,"female","secondary school graduation","in training",FALSE,FALSE,FALSE,TRUE,FALSE,"touchscreen","Austria","Austria","Austria"
231,23,"female","(specialized) university-level graduation","bachelor",TRUE,TRUE,FALSE,FALSE,FALSE,"mouse","Germany","","Spain"
232,28,"female","(specialized) university-level graduation","bachelor",TRUE,TRUE,FALSE,FALSE,FALSE,"touchpad","Germany","United Kingdom","Germany"
234,22,"female","secondary school graduation","none",TRUE,FALSE,FALSE,FALSE,FALSE,"touchpad","Germany","France","Germany"
236,23,"female","(specialized) university-level graduation","master",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Austria","Austria","Austria"
237,22,"female","secondary school graduation","none",FALSE,TRUE,FALSE,FALSE,FALSE,"touchpad","Germany","Germany","Germany"
238,32,"female","(specialized) university-level graduation","doctorate",TRUE,FALSE,FALSE,FALSE,FALSE,"mouse","Germany","","Germany"
239,34,"female","(specialized) university-level graduation","master",TRUE,FALSE,FALSE,TRUE,FALSE,"mouse","Germany","","Germany"
241,23,"male","(specialized) university-level graduation","no specification",FALSE,FALSE,FALSE,TRUE,FALSE,"mouse","Germany","Germany","Germany"
242,20,"female","(specialized) university-level graduation","apprenticeship (dual)",FALSE,FALSE,FALSE,FALSE,TRUE,"touchscreen","Austria","Austria","Austria"
243,25,"female","(specialized) university-level graduation","bachelor",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
244,20,"male","secondary school graduation","none",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
246,22,"female","(specialized) university-level graduation","polytechnic degree",TRUE,FALSE,FALSE,FALSE,FALSE,"mouse","Italy","United Kingdom","Italy"
249,26,"male","(specialized) university-level graduation","technical degree",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany",""
253,21,"female","(specialized) university-level graduation","in training",FALSE,TRUE,FALSE,FALSE,FALSE,"mouse","Germany","Germany","Germany"
254,32,"male","(specialized) university-level graduation","polytechnic degree",FALSE,TRUE,FALSE,FALSE,FALSE,"mouse","Austria","Austria","Austria"
256,30,"female","(specialized) university-level graduation","bachelor",TRUE,FALSE,FALSE,TRUE,FALSE,"touchpad","Germany","United Kingdom","Germany"
257,25,"female","(specialized) university-level graduation","university degree",TRUE,TRUE,FALSE,TRUE,FALSE,"mouse","Germany","United Kingdom","Germany"
258,40,"female","(specialized) university-level graduation","none",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Austria","Austria","Austria"
263,26,"female","(specialized) university-level graduation","university degree",FALSE,TRUE,FALSE,FALSE,FALSE,"touchscreen","Germany","Germany","Germany"
266,28,"male","(specialized) university-level graduation","master",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
267,41,"male","(specialized) university-level graduation","bachelor",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Austria","Austria","Austria"
270,57,"male","(specialized) university-level graduation","doctorate",FALSE,FALSE,FALSE,FALSE,TRUE,"mouse","Germany","Germany","Germany"
271,29,"male","(specialized) university-level graduation","master",FALSE,FALSE,FALSE,FALSE,TRUE,"touchpad","Germany","Germany","Germany"
